term,mean_tfidf
url,0.06576290503879714
email,0.025045390295626302
replica,0.0171234932007461
10,0.015893730382049335
cnn,0.015583242480117285
2008,0.01421283252511351
watches,0.013116913475442811
com,0.01303327549862931
list,0.012369162600766018
wrote,0.01223432249165285
new,0.011357317550575757
just,0.01084470691900657
click,0.010784813227095258
mail,0.010466646585889335
time,0.010430780836490731
account,0.010268073254284705
use,0.010252158494594366
like,0.010246954293185178
news,0.010215072456543723
python,0.010174568182333171
money,0.009625088967614652
don,0.009400437901436366
message,0.00928232192280037
cnn com,0.008434089539178275
alert,0.008313341682631002
love,0.008270996411160584
want,0.008231599995700271
watch,0.008099580863252128
network,0.007994248793955166
free,0.007964346928495764
unsubscribe,0.007953532650521183
mailing,0.007908120620857492
replica watches,0.007785643326884848
help,0.007687166463486591
work,0.007679024620883308
mailing list,0.007607321661100236
make,0.007570687509973885
need,0.0074601690421776815
life,0.007449275154815555
best,0.007388589394389133
know,0.007366596567701731
information,0.007215531480858521
bank,0.007149630710651108
email url,0.007146105793451372
settings,0.0069183083380986695
cable,0.0068290240562933055
company,0.006797169361494017
news network,0.006651490182858946
cable news network,0.006638546723051875
cable news,0.006638546723051875
think,0.006600633339015968
using,0.006582523277992431
url url,0.00658142531441039
good,0.006549765839726136
file,0.006543827530245274
does,0.006432240705567302
check,0.006387200293076635
custom,0.006354561871296591
list email,0.006190394212810086
send,0.006174384494893231
people,0.006153397093266262
mailing list email,0.006080349195666794
health,0.006050270592070272
list email url,0.006047762685329947
site,0.0060028376462450605
business,0.0059449170552200795
receive,0.005925909678082273
url 10,0.005821420964811588
way,0.0058017310434350395
going,0.005791768938857892
thanks,0.005770451988716232
rolex,0.005727439836080923
online,0.005715457436706091
line,0.005711762675997839
men,0.0056232278347471375
read,0.005595782787723994
ve,0.005526133213913193
dear,0.0055220448321868735
replica classics,0.005504130789499763
classics,0.005501507784250453
aug,0.005498966190702684
offer,0.005488211417292505
url unsubscribe,0.00548361762982519
women,0.005461465415483613
20,0.0054594226443245705
today,0.00545548902601275
address,0.005436192814083404
2007,0.005279299478822052
pm,0.005275040180967458
right,0.005197492073074886
contact,0.00519313131547995
visit,0.0051713892659566735
security,0.0051575408189669415
problem,0.005153099959786577
code,0.00512265342735487
products,0.005003724276519039
version,0.0049947808432246645
aug 2008,0.004987432194014864
world,0.004976897126447713
linux,0.004973797344976191
country,0.004960625112321912
server,0.004940423086926892
00,0.0049086590154671155
000,0.004893476646290072
order,0.004892909719832499
man,0.004869522650061229
data,0.004856053435391308
2002,0.004830679373296832
change,0.004826711332419304
perl,0.004808880699086495
software,0.004796429530900729
try,0.0047909489460498614
look,0.004721239683940789
mr,0.004714186369679657
service,0.004710702477353486
spam,0.004656626432674179
web,0.004628522170272381
hi,0.004622262250457336
years,0.004604077690739925
email email,0.004599826916805727
users,0.004586631752067589
details,0.0045749357996809886
daily,0.004544887416624047
unsubscribe url,0.004534355769407155
got,0.004499084373367103
11,0.004495632536589756
really,0.004495484134067848
regards,0.004464194153100175
15,0.004417050263555914
view,0.004410243984444192
great,0.004402771804957337
home,0.0044015980088798305
test,0.004399879022590445
rights,0.004397010452129094
12,0.004396680570660874
content,0.0043829551779023005
url unsubscribe url,0.004376333933399608
date,0.0043678380587785694
fund,0.004365243750301124
email url unsubscribe,0.004358696169922047
size,0.004354598866219613
ll,0.004354333805901172
buy,0.004333362936880802
transaction,0.004329395312650948
transfer,0.004327332866058827
sent,0.004303194188658367
privacy,0.0042730585896668455
reserved,0.004272449747605362
group,0.004269733346019107
link,0.0042600461554145415
result,0.004255900416927336
available,0.004251488523855379
alerts,0.0042378334105699815
better,0.0042347073248489835
dev,0.004223691806188804
quality,0.0042112981822726905
used,0.004179445580268249
day,0.004148504023000239
rights reserved,0.004147128355208146
university,0.004138375196484957
custom alert,0.004127312574382869
30,0.004120948120899831
reply,0.00410959325749557
type,0.004104369431991464
videos,0.004098238664636881
said,0.0040908298445785805
center,0.004086492909836208
come,0.0040723230798172605
personal,0.004046795558560034
postfix,0.004031870611783915
stories,0.004027522619328392
high,0.004023932341593784
real,0.0040196540514380935
lp,0.004006977636665327
support,0.003970161983850074
prices,0.003958488381887415
set,0.003952636233495536
daily 10,0.003936233270465795
looking,0.003924227309791976
error,0.003916900546841615
let,0.0039151661351981846
subject,0.003892395074693836
network lp,0.0038884442684151534
news network lp,0.0038884442684151534
lllp,0.0038884442684151534
network lp lllp,0.0038884442684151534
lp lllp,0.0038884442684151534
going url,0.003887986018701296
did,0.0038877958955594646
able,0.003879828472963206
user,0.003879786647467665
thing,0.003874506100824618
number,0.0038405290771933863
ge,0.0038401055727028057
safe,0.003837500461085623
agreed,0.0037704037019808062
update,0.0037293602984529227
02,0.003726029914896755
receiving,0.0037252854551859563
manage,0.003717218661706421
funds,0.0037135707238621497
client,0.003645656208922481
million,0.0036426003441373447
save,0.0036397067845657916
price,0.003636103381041501
pgp,0.0036231993389183566
case,0.003568406933834644
run,0.0035630484481846466
sure,0.0035609310066057435
john,0.003550047695693026
100,0.0035160378015097545
files,0.003514234118407119
possible,0.003492838574270371
patch,0.0034769740455738683
receive email,0.0034722417846757454
windows,0.0034688530060962564
preference,0.0034518584246756813
return,0.00344653473765343
add,0.003445082985586429
family,0.0034446987896900602
dev mailing list,0.0034222781332185538
dev mailing,0.0034222781332185538
self,0.0034054054726951827
python dev,0.0034053766797645466
policy,0.003387624662049627
watches replica,0.0033637306845241085
suspect,0.0033604139660208883
sex,0.003356820165609972
long,0.0033530644752640987
georgia,0.003352082880147598
company rights reserved,0.003347413617640919
company rights,0.003347413617640919
old,0.003337856842100613
atlanta,0.0033356065111925185
warner,0.003327961908583624
issue,0.0033252390185585195
atlanta georgia,0.0033213063768703322
atlanta georgia 30303,0.0033192733615259374
preference settings,0.0033192733615259374
center atlanta,0.0033192733615259374
georgia 30303,0.0033192733615259374
30303 2008 cable,0.0033192733615259374
settings manage,0.0033192733615259374
30303 2008,0.0033192733615259374
30303,0.0033192733615259374
manage settings,0.0033192733615259374
time warner,0.0033192733615259374
time warner company,0.0033192733615259374
warner company rights,0.0033192733615259374
warner company,0.0033192733615259374
email cnn com,0.0033192733615259374
email cnn,0.0033192733615259374
2008 cable news,0.0033192733615259374
2008 cable,0.0033192733615259374
settings manage settings,0.0033192733615259374
cnn com result,0.0033192733615259374
georgia 30303 2008,0.0033192733615259374
com result cnn,0.0033192733615259374
center atlanta georgia,0.0033192733615259374
cnn com preference,0.0033192733615259374
